id,name.local,name.en,name.slug,code.id,children_count.sector,geo.lat,geo.lon
CD4107,Basankusu,Basankusu,basankusu,CD4107,2,1.057,19.874
CD4102,Bikoro,Bikoro,bikoro,CD4102,3,-0.751,18.225
CD4108,Bolomba,Bolomba,bolomba,CD4108,3,0.589,18.98
CD4104,Bomongo,Bomongo,bomongo,CD4104,2,0.789,18.064
CD4109,Ingende,Ingende,ingende,CD4109,2,-0.717,19.446
CD4103,Lukolela,Lukolela,lukolela,CD4103,2,-1.275,17.19
CD4105,Makanza,Makanza,makanza,CD4105,1,1.263,18.799
CD4101,Mbandaka,Mbandaka,mbandaka,CD4101,3,-0.087,18.26
