id,name.local,name.en,name.slug,code.id,children_count.sector,geo.lat,geo.lon
CD9208,Dekese,Dekese,dekese,CD9208,1,-3.235,21.367
CD9205,Ilebo,Ilebo,ilebo,CD9205,3,-5.056,20.632
CD9202,Kamonia,Kamonia,kamonia,CD9202,8,-6.517,20.635
CD9204,Luebo,Luebo,luebo,CD9204,2,-5.593,21.442
CD9207,Mweka,Mweka,mweka,CD9207,4,-4.65,21.668
