id,name.local,name.en,name.slug,code.id,children_count.sector,geo.lat,geo.lon
CD2002,Boma,Boma,boma,CD2002,1,-5.814,13.05
CD2015,Kasangulu,Kasangulu,kasangulu,CD2015,2,-4.805,15.311
CD2019,Kimvula,Kimvula,kimvula,CD2019,1,-5.422,16.04
CD2005,Lukula,Lukula,lukula,CD2005,2,-5.388,12.852
CD2010,Luozi,Luozi,luozi,CD2010,3,-4.818,14.01
CD2017,Madimba,Madimba,madimba,CD2017,3,-5.374,15.558
CD2001,Matadi,Matadi,matadi,CD2001,2,-5.841,13.459
CD2013,Mbanza-Ngungu,Mbanza-Ngungu,mbanza-ngungu,CD2013,5,-5.338,14.8
CD2003,Moanda,Moanda,moanda,CD2003,3,-5.756,12.943
CD2009,Seke-Banza,Seke-Banza,seke-banza,CD2009,2,-5.391,13.372
CD2011,Songololo,Songololo,songololo,CD2011,2,-5.441,14.05
CD2007,Tshela,Tshela,tshela,CD2007,5,-4.984,12.868
