id,name.local,name.en,name.slug,code.id,children_count.sector,geo.lat,geo.lon
CD4405,Bongandanga,Bongandanga,bongandanga,CD4405,4,1.471,21.26
CD4404,Bumba,Bumba,bumba,CD4404,5,2.675,22.301
CD4402,Lisala,Lisala,lisala,CD4402,3,2.548,21.306
