id,name.local,name.en,name.slug,code.id,children_count.sector,geo.lat,geo.lon
CD8102,Kabinda,Kabinda,kabinda,CD8102,3,-6.075,24.611
CD8105,Kamiji,Kamiji,kamiji,CD8105,1,-6.69,23.24
CD8108,Lubao,Lubao,lubao,CD8108,3,-5.575,25.408
CD8104,Luilu,Luilu,luilu,CD8104,4,-7.313,23.602
CD8103,Mwene-Ditu,Mwene-Ditu,mwene-ditu,CD8103,2,-6.993,23.48
CD8106,Ngandajika,Ngandajika,ngandajika,CD8106,3,-6.701,24.279
