id,name.local,name.en,name.slug,code.id,children_count.sector,geo.lat,geo.lon
CD4306,Bosobolo,Bosobolo,bosobolo,CD4306,2,4.523,19.938
CD4305,Businga,Businga,businga,CD4305,3,3.443,20.745
CD4301,Gbadolite,Gbadolite,gbadolite,CD4301,1,4.254,20.909
CD4302,Mobayi-Mbongo,Mobayi-Mbongo,mobayi-mbongo,CD4302,1,4.13,21.445
CD4304,Yakoma,Yakoma,yakoma,CD4304,4,3.594,22.198
