id,name.local,name.en,name.slug,code.id,children_count.sector,geo.lat,geo.lon
CD7306,Bukama,Bukama,bukama,CD7306,4,-8.835,26.119
CD7304,Kabongo,Kabongo,kabongo,CD7304,3,-7.093,25.545
CD7302,Kamina,Kamina,kamina,CD7302,4,-8.635,24.841
CD7303,Kaniama,Kaniama,kaniama,CD7303,1,-7.846,24.245
CD7305,Malemba-Nkulu,Malemba-Nkulu,malemba-nkulu,CD7305,4,-8.059,27.143
