id,name.local,name.en,name.slug,code.id,children_count.sector,geo.lat,geo.lon
CD5305,Dungu,Dungu,dungu,CD5305,2,4.005,28.773
CD5307,Faradje,Faradje,faradje,CD5307,3,3.485,29.904
CD5303,Niangara,Niangara,niangara,CD5303,1,3.492,27.921
CD5302,Rungu,Rungu,rungu,CD5302,2,2.609,27.32
CD5311,Wamba,Wamba,wamba,CD5311,3,2.096,27.839
CD5309,Watsa,Watsa,watsa,CD5309,2,2.774,29.225
