id,name.local,name.en,name.slug,code.id,children_count.sector,geo.lat,geo.lon
CD5204,Aketi,Aketi,aketi,CD5204,2,2.923,23.742
CD5207,Ango,Ango,ango,CD5207,1,4.447,26.251
CD5209,Bambesa,Bambesa,bambesa,CD5209,1,2.972,26.229
CD5206,Bondo,Bondo,bondo,CD5206,3,4.255,23.948
CD5202,Buta,Buta,buta,CD5202,2,2.835,25.144
CD5208,Poko,Poko,poko,CD5208,2,2.982,27.051
