id,name.local,name.en,name.slug,code.id,children_count.sector,geo.lat,geo.lon
CD5111,Bafwasende,Bafwasende,bafwasende,CD5111,3,0.799,26.994
CD5110,Banalia,Banalia,banalia,CD5110,2,1.495,25.192
CD5109,Basoko,Basoko,basoko,CD5109,3,1.677,23.898
CD5105,Isangi,Isangi,isangi,CD5105,4,0.357,24.062
CD5101,Kisangani,Kisangani,kisangani,CD5101,5,0.545,25.193
CD5103,Opala,Opala,opala,CD5103,2,-0.708,23.953
CD5102,Ubundu,Ubundu,ubundu,CD5102,3,-0.602,25.394
CD5107,Yahuma,Yahuma,yahuma,CD5107,1,0.8,23.242
