id,name.local,name.en,name.slug,code.id,children_count.sector,geo.lat,geo.lon
CD4203,Budjala,Budjala,budjala,CD4203,5,2.6,20.065
CD4202,Gemena,Gemena,gemena,CD4202,5,3.437,19.708
CD4204,Kungu,Kungu,kungu,CD4204,3,2.549,18.747
CD4205,Libenge,Libenge,libenge,CD4205,2,3.76,18.976
CD4206,Zongo,Zongo,zongo,CD4206,1,4.186,18.72
