id,name.local,name.en,name.slug,code.id,children_count.sector,geo.lat,geo.lon
CD7407,Kabalo,Kabalo,kabalo,CD7407,1,-6.184,26.978
CD7402,Kalemie,Kalemie,kalemie,CD7402,2,-6.066,28.889
CD7409,Kongolo,Kongolo,kongolo,CD7409,2,-5.429,26.876
CD7406,Manono,Manono,manono,CD7406,3,-7.421,27.589
CD7404,Moba,Moba,moba,CD7404,2,-7.405,29.533
CD7410,Nyunzu,Nyunzu,nyunzu,CD7410,1,-5.86,27.66
