id,name.local,name.en,name.slug,code.id,children_count.sector,geo.lat,geo.lon
CD7105,Kambove,Kambove,kambove,CD7105,5,-11.236,26.674
CD7107,Kasenga,Kasenga,kasenga,CD7107,4,-10.367,27.882
CD7102,Kipushi,Kipushi,kipushi,CD7102,2,-11.623,27.999
CD7106,Likasi,Likasi,likasi,CD7106,1,-10.964,26.732
CD7101,Lubumbashi,Lubumbashi,lubumbashi,CD7101,11,-11.655,27.46
CD7108,Mitwaba,Mitwaba,mitwaba,CD7108,2,-9.111,27.099
CD7109,Pweto,Pweto,pweto,CD7109,2,-8.693,28.309
CD7104,Sakania,Sakania,sakania,CD7104,1,-12.605,29.156
