id,name.local,name.en,name.slug,code.id,children_count.sector,geo.lat,geo.lon
CD6201,Bukavu,Bukavu,bukavu,CD6201,3,-2.508,28.835
CD6210,Fizi,Fizi,fizi,CD6210,4,-4.276,28.883
CD6206,Idjwi,Idjwi,idjwi,CD6206,1,-1.965,29.098
CD6202,Kabare,Kabare,kabare,CD6202,5,-2.407,28.769
CD6205,Kalehe,Kalehe,kalehe,CD6205,4,-2.031,28.582
CD6212,Mwenga,Mwenga,mwenga,CD6212,5,-3.393,28.311
CD6203,Shabunda,Shabunda,shabunda,CD6203,4,-3.006,27.47
CD6208,Uvira,Uvira,uvira,CD6208,4,-3.199,29.007
CD6207,Walungu,Walungu,walungu,CD6207,4,-2.771,28.6
