id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.territory,children_count.sector,zip_codes,geo.lat,geo.lon
CD4109,2,Territoire,Territory,Ingende,Ingende,ingende,CD4109,,CD41,Equateur,Equateur,,,2,,-0.717,19.446
CD42,1,Province,Province,Sud-Ubangi,Sud-Ubangi,sud-ubangi,CD42,,,,,,5,16,,3.341,19.447
CD4202,2,Territoire,Territory,Gemena,Gemena,gemena,CD4202,,CD42,Sud-Ubangi,Sud-Ubangi,,,5,,3.437,19.708
CD4203,2,Territoire,Territory,Budjala,Budjala,budjala,CD4203,,CD42,Sud-Ubangi,Sud-Ubangi,,,5,,2.6,20.065
CD4204,2,Territoire,Territory,Kungu,Kungu,kungu,CD4204,,CD42,Sud-Ubangi,Sud-Ubangi,,,3,,2.549,18.747
CD4205,2,Territoire,Territory,Libenge,Libenge,libenge,CD4205,,CD42,Sud-Ubangi,Sud-Ubangi,,,2,,3.76,18.976
CD4206,2,Territoire,Territory,Zongo,Zongo,zongo,CD4206,,CD42,Sud-Ubangi,Sud-Ubangi,,,1,,4.186,18.72
CD43,1,Province,Province,Nord-Ubangi,Nord-Ubangi,nord-ubangi,CD43,,,,,,5,11,,3.981,21.355
CD4301,2,Territoire,Territory,Gbadolite,Gbadolite,gbadolite,CD4301,,CD43,Nord-Ubangi,Nord-Ubangi,,,1,,4.254,20.909
CD4302,2,Territoire,Territory,Mobayi-Mbongo,Mobayi-Mbongo,mobayi-mbongo,CD4302,,CD43,Nord-Ubangi,Nord-Ubangi,,,1,,4.13,21.445
CD4304,2,Territoire,Territory,Yakoma,Yakoma,yakoma,CD4304,,CD43,Nord-Ubangi,Nord-Ubangi,,,4,,3.594,22.198
CD4305,2,Territoire,Territory,Businga,Businga,businga,CD4305,,CD43,Nord-Ubangi,Nord-Ubangi,,,3,,3.443,20.745
CD4306,2,Territoire,Territory,Bosobolo,Bosobolo,bosobolo,CD4306,,CD43,Nord-Ubangi,Nord-Ubangi,,,2,,4.523,19.938
CD44,1,Province,Province,Mongala,Mongala,mongala,CD44,,,,,,3,12,,2.03,21.175
CD4402,2,Territoire,Territory,Lisala,Lisala,lisala,CD4402,,CD44,Mongala,Mongala,,,3,,2.548,21.306
CD4404,2,Territoire,Territory,Bumba,Bumba,bumba,CD4404,,CD44,Mongala,Mongala,,,5,,2.675,22.301
CD4405,2,Territoire,Territory,Bongandanga,Bongandanga,bongandanga,CD4405,,CD44,Mongala,Mongala,,,4,,1.471,21.26
CD45,1,Province,Province,Tshuapa,Tshuapa,tshuapa,CD45,,,,,,6,12,,-0.384,21.529
CD4502,2,Territoire,Territory,Boende,Boende,boende,CD4502,,CD45,Tshuapa,Tshuapa,,,2,,-0.494,20.953
CD4503,2,Territoire,Territory,Befale,Befale,befale,CD4503,,CD45,Tshuapa,Tshuapa,,,2,,0.596,21.058
CD4504,2,Territoire,Territory,Djolu,Djolu,djolu,CD4504,,CD45,Tshuapa,Tshuapa,,,2,,0.68,22.228
CD4505,2,Territoire,Territory,Ikela,Ikela,ikela,CD4505,,CD45,Tshuapa,Tshuapa,,,2,,-0.989,23.087
CD4506,2,Territoire,Territory,Bokungu,Bokungu,bokungu,CD4506,,CD45,Tshuapa,Tshuapa,,,3,,-0.898,22.138
CD4507,2,Territoire,Territory,Monkoto,Monkoto,monkoto,CD4507,,CD45,Tshuapa,Tshuapa,,,1,,-1.597,20.9
CD51,1,Province,Province,Tshopo,Tshopo,tshopo,CD51,,,,,,8,23,,0.141,25.598
CD5101,2,Territoire,Territory,Kisangani,Kisangani,kisangani,CD5101,,CD51,Tshopo,Tshopo,,,5,,0.545,25.193
CD5102,2,Territoire,Territory,Ubundu,Ubundu,ubundu,CD5102,,CD51,Tshopo,Tshopo,,,3,,-0.602,25.394
CD5103,2,Territoire,Territory,Opala,Opala,opala,CD5103,,CD51,Tshopo,Tshopo,,,2,,-0.708,23.953
CD5105,2,Territoire,Territory,Isangi,Isangi,isangi,CD5105,,CD51,Tshopo,Tshopo,,,4,,0.357,24.062
CD5107,2,Territoire,Territory,Yahuma,Yahuma,yahuma,CD5107,,CD51,Tshopo,Tshopo,,,1,,0.8,23.242
CD5109,2,Territoire,Territory,Basoko,Basoko,basoko,CD5109,,CD51,Tshopo,Tshopo,,,3,,1.677,23.898
CD5110,2,Territoire,Territory,Banalia,Banalia,banalia,CD5110,,CD51,Tshopo,Tshopo,,,2,,1.495,25.192
CD5111,2,Territoire,Territory,Bafwasende,Bafwasende,bafwasende,CD5111,,CD51,Tshopo,Tshopo,,,3,,0.799,26.994
CD52,1,Province,Province,Bas-Uele,Bas-Uele,bas-uele,CD52,,,,,,6,11,,3.668,25.215
CD5202,2,Territoire,Territory,Buta,Buta,buta,CD5202,,CD52,Bas-Uele,Bas-Uele,,,2,,2.835,25.144
CD5204,2,Territoire,Territory,Aketi,Aketi,aketi,CD5204,,CD52,Bas-Uele,Bas-Uele,,,2,,2.923,23.742
CD5206,2,Territoire,Territory,Bondo,Bondo,bondo,CD5206,,CD52,Bas-Uele,Bas-Uele,,,3,,4.255,23.948
CD5207,2,Territoire,Territory,Ango,Ango,ango,CD5207,,CD52,Bas-Uele,Bas-Uele,,,1,,4.447,26.251
CD5208,2,Territoire,Territory,Poko,Poko,poko,CD5208,,CD52,Bas-Uele,Bas-Uele,,,2,,2.982,27.051
CD5209,2,Territoire,Territory,Bambesa,Bambesa,bambesa,CD5209,,CD52,Bas-Uele,Bas-Uele,,,1,,2.972,26.229
CD53,1,Province,Province,Haut-Uele,Haut-Uele,haut-uele,CD53,,,,,,6,13,,3.327,28.811
CD5302,2,Territoire,Territory,Rungu,Rungu,rungu,CD5302,,CD53,Haut-Uele,Haut-Uele,,,2,,2.609,27.32
CD5303,2,Territoire,Territory,Niangara,Niangara,niangara,CD5303,,CD53,Haut-Uele,Haut-Uele,,,1,,3.492,27.921
CD5305,2,Territoire,Territory,Dungu,Dungu,dungu,CD5305,,CD53,Haut-Uele,Haut-Uele,,,2,,4.005,28.773
CD5307,2,Territoire,Territory,Faradje,Faradje,faradje,CD5307,,CD53,Haut-Uele,Haut-Uele,,,3,,3.485,29.904
CD5309,2,Territoire,Territory,Watsa,Watsa,watsa,CD5309,,CD53,Haut-Uele,Haut-Uele,,,2,,2.774,29.225
CD5311,2,Territoire,Territory,Wamba,Wamba,wamba,CD5311,,CD53,Haut-Uele,Haut-Uele,,,3,,2.096,27.839
CD54,1,Province,Province,Ituri,Ituri,ituri,CD54,,,,,,5,36,,2.097,29.056
CD5402,2,Territoire,Territory,Irumu,Irumu,irumu,CD5402,,CD54,Ituri,Ituri,,,6,,1.27,30.017
CD5403,2,Territoire,Territory,Mambasa,Mambasa,mambasa,CD5403,,CD54,Ituri,Ituri,,,4,,1.531,28.784
CD5405,2,Territoire,Territory,Djugu,Djugu,djugu,CD5405,,CD54,Ituri,Ituri,,,13,,1.886,30.381
CD5407,2,Territoire,Territory,Mahagi,Mahagi,mahagi,CD5407,,CD54,Ituri,Ituri,,,7,,2.325,30.673
CD5409,2,Territoire,Territory,Aru,Aru,aru,CD5409,,CD54,Ituri,Ituri,,,6,,3.029,30.457
CD61,1,Province,Province,Nord-Kivu,Nord-Kivu,nord-kivu,CD61,,,,,,9,34,,-0.559,28.808
CD6101,2,Territoire,Territory,Goma,Goma,goma,CD6101,,CD61,Nord-Kivu,Nord-Kivu,,,2,,-1.655,29.202
CD6102,2,Territoire,Territory,Nyiragongo,Nyiragongo,nyiragongo,CD6102,,CD61,Nord-Kivu,Nord-Kivu,,,1,,-1.553,29.249
CD6103,2,Territoire,Territory,Masisi,Masisi,masisi,CD6103,,CD61,Nord-Kivu,Nord-Kivu,,,4,,-1.371,28.882
CD6104,2,Territoire,Territory,Walikale,Walikale,walikale,CD6104,,CD61,Nord-Kivu,Nord-Kivu,,,4,,-1.084,27.984
CD6105,2,Territoire,Territory,Lubero,Lubero,lubero,CD6105,,CD61,Nord-Kivu,Nord-Kivu,,,7,,-0.06,28.762
CD6107,2,Territoire,Territory,Oïcha,Oïcha,ocha,CD6107,,CD61,Nord-Kivu,Nord-Kivu,,,7,,0.401,29.72
CD6109,2,Territoire,Territory,Beni,Beni,beni,CD6109,,CD61,Nord-Kivu,Nord-Kivu,,,1,,0.482,29.453
CD6110,2,Territoire,Territory,Butembo,Butembo,butembo,CD6110,,CD61,Nord-Kivu,Nord-Kivu,,,2,,0.135,29.282
CD6111,2,Territoire,Territory,Rutshuru,Rutshuru,rutshuru,CD6111,,CD61,Nord-Kivu,Nord-Kivu,,,6,,-0.961,29.327
CD62,1,Province,Province,Sud-Kivu,Sud-Kivu,sud-kivu,CD62,,,,,,9,34,,-3.297,28.177
CD6201,2,Territoire,Territory,Bukavu,Bukavu,bukavu,CD6201,,CD62,Sud-Kivu,Sud-Kivu,,,3,,-2.508,28.835
CD6202,2,Territoire,Territory,Kabare,Kabare,kabare,CD6202,,CD62,Sud-Kivu,Sud-Kivu,,,5,,-2.407,28.769
CD6203,2,Territoire,Territory,Shabunda,Shabunda,shabunda,CD6203,,CD62,Sud-Kivu,Sud-Kivu,,,4,,-3.006,27.47
CD6205,2,Territoire,Territory,Kalehe,Kalehe,kalehe,CD6205,,CD62,Sud-Kivu,Sud-Kivu,,,4,,-2.031,28.582
CD6206,2,Territoire,Territory,Idjwi,Idjwi,idjwi,CD6206,,CD62,Sud-Kivu,Sud-Kivu,,,1,,-1.965,29.098
CD6207,2,Territoire,Territory,Walungu,Walungu,walungu,CD6207,,CD62,Sud-Kivu,Sud-Kivu,,,4,,-2.771,28.6
CD6208,2,Territoire,Territory,Uvira,Uvira,uvira,CD6208,,CD62,Sud-Kivu,Sud-Kivu,,,4,,-3.199,29.007
CD6210,2,Territoire,Territory,Fizi,Fizi,fizi,CD6210,,CD62,Sud-Kivu,Sud-Kivu,,,4,,-4.276,28.883
CD6212,2,Territoire,Territory,Mwenga,Mwenga,mwenga,CD6212,,CD62,Sud-Kivu,Sud-Kivu,,,5,,-3.393,28.311
CD63,1,Province,Province,Maniema,Maniema,maniema,CD63,,,,,,8,18,,-2.516,25.943
CD6301,2,Territoire,Territory,Kindu,Kindu,kindu,CD6301,,CD63,Maniema,Maniema,,,2,,-2.974,25.918
CD6302,2,Territoire,Territory,Kailo,Kailo,kailo,CD6302,,CD63,Maniema,Maniema,,,1,,-2.56,25.75
CD6303,2,Territoire,Territory,Punia,Punia,punia,CD6303,,CD63,Maniema,Maniema,,,2,,-1.706,26.752
CD6305,2,Territoire,Territory,Lubutu,Lubutu,lubutu,CD6305,,CD63,Maniema,Maniema,,,2,,-0.716,27.022
CD6307,2,Territoire,Territory,Pangi,Pangi,pangi,CD6307,,CD63,Maniema,Maniema,,,3,,-3.132,26.618
CD6309,2,Territoire,Territory,Kabambare,Kabambare,kabambare,CD6309,,CD63,Maniema,Maniema,,,3,,-4.414,27.776
CD6311,2,Territoire,Territory,Kasongo,Kasongo,kasongo,CD6311,,CD63,Maniema,Maniema,,,3,,-4.179,26.549
CD6313,2,Territoire,Territory,Kibombo,Kibombo,kibombo,CD6313,,CD63,Maniema,Maniema,,,2,,-4.082,25.488
CD71,1,Province,Province,Haut-Katanga,Haut-Katanga,haut-katanga,CD71,,,,,,8,28,,-10.539,27.876
CD7101,2,Territoire,Territory,Lubumbashi,Lubumbashi,lubumbashi,CD7101,,CD71,Haut-Katanga,Haut-Katanga,,,11,,-11.655,27.46
CD7102,2,Territoire,Territory,Kipushi,Kipushi,kipushi,CD7102,,CD71,Haut-Katanga,Haut-Katanga,,,2,,-11.623,27.999
CD7104,2,Territoire,Territory,Sakania,Sakania,sakania,CD7104,,CD71,Haut-Katanga,Haut-Katanga,,,1,,-12.605,29.156
CD7105,2,Territoire,Territory,Kambove,Kambove,kambove,CD7105,,CD71,Haut-Katanga,Haut-Katanga,,,5,,-11.236,26.674
CD7106,2,Territoire,Territory,Likasi,Likasi,likasi,CD7106,,CD71,Haut-Katanga,Haut-Katanga,,,1,,-10.964,26.732
CD7107,2,Territoire,Territory,Kasenga,Kasenga,kasenga,CD7107,,CD71,Haut-Katanga,Haut-Katanga,,,4,,-10.367,27.882
CD7108,2,Territoire,Territory,Mitwaba,Mitwaba,mitwaba,CD7108,,CD71,Haut-Katanga,Haut-Katanga,,,2,,-9.111,27.099
CD7109,2,Territoire,Territory,Pweto,Pweto,pweto,CD7109,,CD71,Haut-Katanga,Haut-Katanga,,,2,,-8.693,28.309
CD72,1,Province,Province,Lualaba,Lualaba,lualaba,CD72,,,,,,5,13,,-9.689,23.026
CD7202,2,Territoire,Territory,Mutshatsha,Mutshatsha,mutshatsha,CD7202,,CD72,Lualaba,Lualaba,,,3,,-10.858,25.166
CD7203,2,Territoire,Territory,Lubudi,Lubudi,lubudi,CD7203,,CD72,Lualaba,Lualaba,,,4,,-10.358,26.479
CD7205,2,Territoire,Territory,Dilolo,Dilolo,dilolo,CD7205,,CD72,Lualaba,Lualaba,,,2,,-10.539,23.309
CD7206,2,Territoire,Territory,Sandoa,Sandoa,sandoa,CD7206,,CD72,Lualaba,Lualaba,,,2,,-9.383,22.975
CD7207,2,Territoire,Territory,Kapanga,Kapanga,kapanga,CD7207,,CD72,Lualaba,Lualaba,,,2,,-8.488,22.796
CD73,1,Province,Province,Haut-Lomami,Haut-Lomami,haut-lomami,CD73,,,,,,5,16,,-8.138,25.577
CD7302,2,Territoire,Territory,Kamina,Kamina,kamina,CD7302,,CD73,Haut-Lomami,Haut-Lomami,,,4,,-8.635,24.841
CD7303,2,Territoire,Territory,Kaniama,Kaniama,kaniama,CD7303,,CD73,Haut-Lomami,Haut-Lomami,,,1,,-7.846,24.245
CD7304,2,Territoire,Territory,Kabongo,Kabongo,kabongo,CD7304,,CD73,Haut-Lomami,Haut-Lomami,,,3,,-7.093,25.545
CD7305,2,Territoire,Territory,Malemba-Nkulu,Malemba-Nkulu,malemba-nkulu,CD7305,,CD73,Haut-Lomami,Haut-Lomami,,,4,,-8.059,27.143
CD7306,2,Territoire,Territory,Bukama,Bukama,bukama,CD7306,,CD73,Haut-Lomami,Haut-Lomami,,,4,,-8.835,26.119
CD74,1,Province,Province,Tanganyika,Tanganyika,tanganyika,CD74,,,,,,6,11,,-6.705,27.955
CD7402,2,Territoire,Territory,Kalemie,Kalemie,kalemie,CD7402,,CD74,Tanganyika,Tanganyika,,,2,,-6.066,28.889
CD7404,2,Territoire,Territory,Moba,Moba,moba,CD7404,,CD74,Tanganyika,Tanganyika,,,2,,-7.405,29.533
CD7406,2,Territoire,Territory,Manono,Manono,manono,CD7406,,CD74,Tanganyika,Tanganyika,,,3,,-7.421,27.589
CD7407,2,Territoire,Territory,Kabalo,Kabalo,kabalo,CD7407,,CD74,Tanganyika,Tanganyika,,,1,,-6.184,26.978
CD7409,2,Territoire,Territory,Kongolo,Kongolo,kongolo,CD7409,,CD74,Tanganyika,Tanganyika,,,2,,-5.429,26.876
CD7410,2,Territoire,Territory,Nyunzu,Nyunzu,nyunzu,CD7410,,CD74,Tanganyika,Tanganyika,,,1,,-5.86,27.66
CD81,1,Province,Province,Lomami,Lomami,lomami,CD81,,,,,,6,16,,-6.407,24.627
CD8102,2,Territoire,Territory,Kabinda,Kabinda,kabinda,CD8102,,CD81,Lomami,Lomami,,,3,,-6.075,24.611
CD8103,2,Territoire,Territory,Mwene-Ditu,Mwene-Ditu,mwene-ditu,CD8103,,CD81,Lomami,Lomami,,,2,,-6.993,23.48
CD8104,2,Territoire,Territory,Luilu,Luilu,luilu,CD8104,,CD81,Lomami,Lomami,,,4,,-7.313,23.602
CD8105,2,Territoire,Territory,Kamiji,Kamiji,kamiji,CD8105,,CD81,Lomami,Lomami,,,1,,-6.69,23.24
CD8106,2,Territoire,Territory,Ngandajika,Ngandajika,ngandajika,CD8106,,CD81,Lomami,Lomami,,,3,,-6.701,24.279
CD8108,2,Territoire,Territory,Lubao,Lubao,lubao,CD8108,,CD81,Lomami,Lomami,,,3,,-5.575,25.408
CD82,1,Province,Province,Kasaï-Oriental,Kasaï-Oriental,kasa-oriental,CD82,,,,,,6,19,,-6.199,23.571
CD8201,2,Territoire,Territory,Mbuji-Mayi,Mbuji-Mayi,mbuji-mayi,CD8201,,CD82,Kasaï-Oriental,Kasaï-Oriental,,,10,,-6.111,23.61
CD8202,2,Territoire,Territory,Tshilenge,Tshilenge,tshilenge,CD8202,,CD82,Kasaï-Oriental,Kasaï-Oriental,,,2,,-6.465,23.621
CD8205,2,Territoire,Territory,Miabi,Miabi,miabi,CD8205,,CD82,Kasaï-Oriental,Kasaï-Oriental,,,2,,-6.291,23.286
CD8207,2,Territoire,Territory,Kabeya-Kamwanga,Kabeya-Kamwanga,kabeya-kamwanga,CD8207,,CD82,Kasaï-Oriental,Kasaï-Oriental,,,1,,-6.028,23.122
CD8208,2,Territoire,Territory,Lupatapata,Lupatapata,lupatapata,CD8208,,CD82,Kasaï-Oriental,Kasaï-Oriental,,,2,,-6.023,23.602
CD8209,2,Territoire,Territory,Katanda,Katanda,katanda,CD8209,,CD82,Kasaï-Oriental,Kasaï-Oriental,,,2,,-6.077,23.927
CD83,1,Province,Province,Sankuru,Sankuru,sankuru,CD83,,,,,,6,16,,-3.773,23.44
CD8302,2,Territoire,Territory,Lusambo,Lusambo,lusambo,CD8302,,CD83,Sankuru,Sankuru,,,3,,-5.009,23.417
CD8303,2,Territoire,Territory,Lodja,Lodja,lodja,CD8303,,CD83,Sankuru,Sankuru,,,3,,-3.518,23.497
CD8306,2,Territoire,Territory,Kole,Kole,kole,CD8306,,CD83,Sankuru,Sankuru,,,2,,-3.424,22.503
CD8307,2,Territoire,Territory,Lomela,Lomela,lomela,CD8307,,CD83,Sankuru,Sankuru,,,2,,-2.398,23.415
CD8308,2,Territoire,Territory,Katako-Kombe,Katako-Kombe,katako-kombe,CD8308,,CD83,Sankuru,Sankuru,,,3,,-3.372,24.414
CD8309,2,Territoire,Territory,Lubefu,Lubefu,lubefu,CD8309,,CD83,Sankuru,Sankuru,,,3,,-4.689,24.331
CD91,1,Province,Province,Kasaï-Central,Kasaï-Central,kasa-central,CD91,,,,,,6,26,,-6.047,22.267
CD9101,2,Territoire,Territory,Kananga,Kananga,kananga,CD9101,,CD91,Kasaï-Central,Kasaï-Central,,,6,,-5.895,22.444
CD9102,2,Territoire,Territory,Dibaya,Dibaya,dibaya,CD9102,,CD91,Kasaï-Central,Kasaï-Central,,,4,,-6.391,22.771
CD9104,2,Territoire,Territory,Luiza,Luiza,luiza,CD9104,,CD91,Kasaï-Central,Kasaï-Central,,,4,,-7.201,22.477
CD9105,2,Territoire,Territory,Kazumba,Kazumba,kazumba,CD9105,,CD91,Kasaï-Central,Kasaï-Central,,,5,,-6.402,22.008
CD9106,2,Territoire,Territory,Demba,Demba,demba,CD9106,,CD91,Kasaï-Central,Kasaï-Central,,,3,,-5.236,22.117
CD9107,2,Territoire,Territory,Dimbelenge,Dimbelenge,dimbelenge,CD9107,,CD91,Kasaï-Central,Kasaï-Central,,,4,,-5.022,22.684
CD92,1,Province,Province,Kasaï,Kasaï,kasa,CD92,,,,,,5,18,,-4.805,21.132
CD9202,2,Territoire,Territory,Kamonia,Kamonia,kamonia,CD9202,,CD92,Kasaï,Kasaï,,,8,,-6.517,20.635
CD9204,2,Territoire,Territory,Luebo,Luebo,luebo,CD9204,,CD92,Kasaï,Kasaï,,,2,,-5.593,21.442
CD9205,2,Territoire,Territory,Ilebo,Ilebo,ilebo,CD9205,,CD92,Kasaï,Kasaï,,,3,,-5.056,20.632
CD9207,2,Territoire,Territory,Mweka,Mweka,mweka,CD9207,,CD92,Kasaï,Kasaï,,,4,,-4.65,21.668
CD9208,2,Territoire,Territory,Dekese,Dekese,dekese,CD9208,,CD92,Kasaï,Kasaï,,,1,,-3.235,21.367
