id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.territory,children_count.sector,zip_codes,geo.lat,geo.lon
CD10,1,Province,Province,Kinshasa,Kinshasa,kinshasa,CD10,,,,,,1,35,,-4.477,15.788
CD1000,2,Territoire,Territory,Kinshasa,Kinshasa,kinshasa,CD1000,,CD10,Kinshasa,Kinshasa,,,35,,-4.477,15.788
CD20,1,Province,Province,Kongo-Central,Kongo-Central,kongo-central,CD20,,,,,,12,31,,-5.178,14.382
CD2001,2,Territoire,Territory,Matadi,Matadi,matadi,CD2001,,CD20,Kongo-Central,Kongo-Central,,,2,,-5.841,13.459
CD2002,2,Territoire,Territory,Boma,Boma,boma,CD2002,,CD20,Kongo-Central,Kongo-Central,,,1,,-5.814,13.05
CD2003,2,Territoire,Territory,Moanda,Moanda,moanda,CD2003,,CD20,Kongo-Central,Kongo-Central,,,3,,-5.756,12.943
CD2005,2,Territoire,Territory,Lukula,Lukula,lukula,CD2005,,CD20,Kongo-Central,Kongo-Central,,,2,,-5.388,12.852
CD2007,2,Territoire,Territory,Tshela,Tshela,tshela,CD2007,,CD20,Kongo-Central,Kongo-Central,,,5,,-4.984,12.868
CD2009,2,Territoire,Territory,Seke-Banza,Seke-Banza,seke-banza,CD2009,,CD20,Kongo-Central,Kongo-Central,,,2,,-5.391,13.372
CD2010,2,Territoire,Territory,Luozi,Luozi,luozi,CD2010,,CD20,Kongo-Central,Kongo-Central,,,3,,-4.818,14.01
CD2011,2,Territoire,Territory,Songololo,Songololo,songololo,CD2011,,CD20,Kongo-Central,Kongo-Central,,,2,,-5.441,14.05
CD2013,2,Territoire,Territory,Mbanza-Ngungu,Mbanza-Ngungu,mbanza-ngungu,CD2013,,CD20,Kongo-Central,Kongo-Central,,,5,,-5.338,14.8
CD2015,2,Territoire,Territory,Kasangulu,Kasangulu,kasangulu,CD2015,,CD20,Kongo-Central,Kongo-Central,,,2,,-4.805,15.311
CD2017,2,Territoire,Territory,Madimba,Madimba,madimba,CD2017,,CD20,Kongo-Central,Kongo-Central,,,3,,-5.374,15.558
CD2019,2,Territoire,Territory,Kimvula,Kimvula,kimvula,CD2019,,CD20,Kongo-Central,Kongo-Central,,,1,,-5.422,16.04
CD31,1,Province,Province,Kwango,Kwango,kwango,CD31,,,,,,5,14,,-6.181,17.796
CD3102,2,Territoire,Territory,Kenge,Kenge,kenge,CD3102,,CD31,Kwango,Kwango,,,3,,-5.104,17.018
CD3103,2,Territoire,Territory,Feshi,Feshi,feshi,CD3103,,CD31,Kwango,Kwango,,,3,,-6.306,18.233
CD3105,2,Territoire,Territory,Kahemba,Kahemba,kahemba,CD3105,,CD31,Kwango,Kwango,,,2,,-7.198,19.005
CD3106,2,Territoire,Territory,Kasongo-Lunda,Kasongo-Lunda,kasongo-lunda,CD3106,,CD31,Kwango,Kwango,,,5,,-6.181,17.796
CD3108,2,Territoire,Territory,Popokabaka,Popokabaka,popokabaka,CD3108,,CD31,Kwango,Kwango,,,1,,-5.512,16.383
CD32,1,Province,Province,Kwilu,Kwilu,kwilu,CD32,,,,,,7,24,,-4.793,18.809
CD3201,2,Territoire,Territory,Bandundu,Bandundu,bandundu,CD3201,,CD32,Kwilu,Kwilu,,,1,,-3.319,17.454
CD3202,2,Territoire,Territory,Bagata,Bagata,bagata,CD3202,,CD32,Kwilu,Kwilu,,,3,,-3.929,17.965
CD3203,2,Territoire,Territory,Kikwit,Kikwit,kikwit,CD3203,,CD32,Kwilu,Kwilu,,,2,,-5.06,18.809
CD3204,2,Territoire,Territory,Bulungu,Bulungu,bulungu,CD3204,,CD32,Kwilu,Kwilu,,,5,,-4.699,18.698
CD3206,2,Territoire,Territory,Idiofa,Idiofa,idiofa,CD3206,,CD32,Kwilu,Kwilu,,,6,,-4.708,19.613
CD3210,2,Territoire,Territory,Gungu,Gungu,gungu,CD3210,,CD32,Kwilu,Kwilu,,,3,,-5.768,19.364
CD3212,2,Territoire,Territory,Masi-Manimba,Masi-Manimba,masi-manimba,CD3212,,CD32,Kwilu,Kwilu,,,4,,-5.012,17.921
CD33,1,Province,Province,Maï-Ndombe,Maï-Ndombe,ma-ndombe,CD33,,,,,,8,14,,-2.57,18.585
CD3302,2,Territoire,Territory,Inongo,Inongo,inongo,CD3302,,CD33,Maï-Ndombe,Maï-Ndombe,,,3,,-1.934,18.01
CD3303,2,Territoire,Territory,Kiri,Kiri,kiri,CD3303,,CD33,Maï-Ndombe,Maï-Ndombe,,,2,,-1.724,19.097
CD3304,2,Territoire,Territory,Oshwe,Oshwe,oshwe,CD3304,,CD33,Maï-Ndombe,Maï-Ndombe,,,3,,-3.147,19.769
CD3306,2,Territoire,Territory,Kutu,Kutu,kutu,CD3306,,CD33,Maï-Ndombe,Maï-Ndombe,,,2,,-2.971,18.163
CD3307,2,Territoire,Territory,Kwamouth,Kwamouth,kwamouth,CD3307,,CD33,Maï-Ndombe,Maï-Ndombe,,,1,,-3.617,16.683
CD3308,2,Territoire,Territory,Bolobo,Bolobo,bolobo,CD3308,,CD33,Maï-Ndombe,Maï-Ndombe,,,1,,-2.648,16.361
CD3310,2,Territoire,Territory,Yumbi,Yumbi,yumbi,CD3310,,CD33,Maï-Ndombe,Maï-Ndombe,,,1,,-2.097,16.465
CD3311,2,Territoire,Territory,Mushie,Mushie,mushie,CD3311,,CD33,Maï-Ndombe,Maï-Ndombe,,,1,,-2.526,17.142
CD41,1,Province,Province,Equateur,Equateur,equateur,CD41,,,,,,8,18,,0.063,19.135
CD4101,2,Territoire,Territory,Mbandaka,Mbandaka,mbandaka,CD4101,,CD41,Equateur,Equateur,,,3,,-0.087,18.26
CD4102,2,Territoire,Territory,Bikoro,Bikoro,bikoro,CD4102,,CD41,Equateur,Equateur,,,3,,-0.751,18.225
CD4103,2,Territoire,Territory,Lukolela,Lukolela,lukolela,CD4103,,CD41,Equateur,Equateur,,,2,,-1.275,17.19
CD4104,2,Territoire,Territory,Bomongo,Bomongo,bomongo,CD4104,,CD41,Equateur,Equateur,,,2,,0.789,18.064
CD4105,2,Territoire,Territory,Makanza,Makanza,makanza,CD4105,,CD41,Equateur,Equateur,,,1,,1.263,18.799
CD4107,2,Territoire,Territory,Basankusu,Basankusu,basankusu,CD4107,,CD41,Equateur,Equateur,,,2,,1.057,19.874
CD4108,2,Territoire,Territory,Bolomba,Bolomba,bolomba,CD4108,,CD41,Equateur,Equateur,,,3,,0.589,18.98
